"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 01 09:43:08 UTC 2026","Wed Apr 01 09:43:08 UTC 2026","168","PetStore API Suite","Pet Tests","tests.PetTests","tests.PetTests","getPetById_shouldReturnPet","Get pet by ID and verify details",""
"passed","Wed Apr 01 09:43:05 UTC 2026","Wed Apr 01 09:43:08 UTC 2026","2747","PetStore API Suite","Pet Tests","tests.PetTests","tests.PetTests","createPet_shouldReturn200","Create a pet and verify status code 200",""
