"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","PetStore API","0","Pet Management","1","0","Get Pet by ID","0"
"0","PetStore API","0","Pet Management","1","0","Create Pet","0"
