"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1178","Get pet by ID and verify details","PetStore API Suite","2026-03-31","passed","2026-03-31","tests.PetTests","Pet Tests","tests.PetTests","getPetById_shouldReturnPet"
"","5028","Create a pet and verify status code 200","PetStore API Suite","2026-03-31","passed","2026-03-31","tests.PetTests","Pet Tests","tests.PetTests","createPet_shouldReturn200"
