"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 01 11:49:39 UTC 2026","Wed Apr 01 11:49:39 UTC 2026","154","PetStore API Suite","Pet Tests","tests.PetTests","tests.PetTests","getPetById_shouldReturnPet","Get pet by ID and verify details",""
"passed","Wed Apr 01 11:49:36 UTC 2026","Wed Apr 01 11:49:38 UTC 2026","2056","PetStore API Suite","Pet Tests","tests.PetTests","tests.PetTests","createPet_shouldReturn200","Create a pet and verify status code 200",""
